===2023-07-01 14:43:04===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,11,17,28,45,72,116,186,298,477,18,29,46,74,119,191,306,53,85,136,217,59,95,152,73,118,120,
client_nums=[10,7,4,3,2,1,]
len_dataset=[2103,1314,821,513,320,200,]
domain number = 6
============ Train epoch 0 ============
cnt=[1, 2, 1, 4, 6, 13, ]
cnt=[12, 7, 2, 4, 1, 1, ]
 Site-Clipart                       | Train Loss: 2.0373 | Train Acc: 0.5000
 Site-Clipart                       | Train Loss: 2.1497 | Train Acc: 0.2727
 Site-Clipart                       | Train Loss: 2.1582 | Train Acc: 0.2353
 Site-Clipart                       | Train Loss: 2.1316 | Train Acc: 0.3571
 Site-Clipart                       | Train Loss: 2.0321 | Train Acc: 0.3778
 Site-Clipart                       | Train Loss: 2.0628 | Train Acc: 0.3056
 Site-Clipart                       | Train Loss: 2.0757 | Train Acc: 0.3362
 Site-Clipart                       | Train Loss: 2.1644 | Train Acc: 0.2634
 Site-Clipart                       | Train Loss: 2.1173 | Train Acc: 0.3020
 Site-Clipart                       | Train Loss: 2.1074 | Train Acc: 0.2956
 Site-Real                          | Train Loss: 2.1803 | Train Acc: 0.1667
 Site-Real                          | Train Loss: 2.0963 | Train Acc: 0.3793
 Site-Real                          | Train Loss: 2.1552 | Train Acc: 0.3261
 Site-Real                          | Train Loss: 2.1914 | Train Acc: 0.2838
 Site-Real                          | Train Loss: 2.1452 | Train Acc: 0.2437
 Site-Real                          | Train Loss: 2.1029 | Train Acc: 0.3089
 Site-Real                          | Train Loss: 2.1454 | Train Acc: 0.2647
 Site-Painting                      | Train Loss: 2.1585 | Train Acc: 0.3208
 Site-Painting                      | Train Loss: 2.2045 | Train Acc: 0.2706
 Site-Painting                      | Train Loss: 2.1824 | Train Acc: 0.2059
 Site-Painting                      | Train Loss: 2.1819 | Train Acc: 0.2581
 Site-Sketch                        | Train Loss: 2.0946 | Train Acc: 0.2881
 Site-Sketch                        | Train Loss: 2.0921 | Train Acc: 0.3474
 Site-Sketch                        | Train Loss: 2.1527 | Train Acc: 0.2763
 Site-QuickDraw                     | Train Loss: 2.3755 | Train Acc: 0.0822
 Site-QuickDraw                     | Train Loss: 2.3342 | Train Acc: 0.1102
 Site-Infograph                     | Train Loss: 2.2727 | Train Acc: 0.1667
Average Train Accuracy: 0.2794
 Site-Clipart                       | Val  Loss: 2.2662 | Val  Acc: 0.2500
 Site-Clipart                       | Val  Loss: 2.0890 | Val  Acc: 0.1429
 Site-Clipart                       | Val  Loss: 2.0797 | Val  Acc: 0.1818
 Site-Clipart                       | Val  Loss: 2.0794 | Val  Acc: 0.3333
 Site-Clipart                       | Val  Loss: 2.0862 | Val  Acc: 0.3667
 Site-Clipart                       | Val  Loss: 2.0609 | Val  Acc: 0.3750
 Site-Clipart                       | Val  Loss: 2.0355 | Val  Acc: 0.3247
 Site-Clipart                       | Val  Loss: 2.1315 | Val  Acc: 0.2097
 Site-Clipart                       | Val  Loss: 2.0823 | Val  Acc: 0.3081
 Site-Clipart                       | Val  Loss: 2.1197 | Val  Acc: 0.2767
 Site-Real                          | Val  Loss: 2.0526 | Val  Acc: 0.2500
 Site-Real                          | Val  Loss: 2.1303 | Val  Acc: 0.2632
 Site-Real                          | Val  Loss: 2.1373 | Val  Acc: 0.1935
 Site-Real                          | Val  Loss: 2.1073 | Val  Acc: 0.2653
 Site-Real                          | Val  Loss: 2.1229 | Val  Acc: 0.3544
 Site-Real                          | Val  Loss: 2.0824 | Val  Acc: 0.3622
 Site-Real                          | Val  Loss: 2.1261 | Val  Acc: 0.2696
 Site-Painting                      | Val  Loss: 2.1626 | Val  Acc: 0.2000
 Site-Painting                      | Val  Loss: 2.1720 | Val  Acc: 0.2500
 Site-Painting                      | Val  Loss: 2.1909 | Val  Acc: 0.1556
 Site-Painting                      | Val  Loss: 2.2463 | Val  Acc: 0.1793
 Site-Sketch                        | Val  Loss: 2.1900 | Val  Acc: 0.2564
 Site-Sketch                        | Val  Loss: 2.1787 | Val  Acc: 0.2222
 Site-Sketch                        | Val  Loss: 2.1627 | Val  Acc: 0.2772
 Site-QuickDraw                     | Val  Loss: 2.3623 | Val  Acc: 0.1224
 Site-QuickDraw                     | Val  Loss: 2.3402 | Val  Acc: 0.1154
 Site-Infograph                     | Val  Loss: 2.2773 | Val  Acc: 0.1125
Average Valid Accuracy: 0.2451
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.2500
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1429
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.1818
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3333
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3667
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3750
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3247
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.2097
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3081
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.2767
 Best site-Real                      | Epoch:0 | Val Acc: 0.2500
 Best site-Real                      | Epoch:0 | Val Acc: 0.2632
 Best site-Real                      | Epoch:0 | Val Acc: 0.1935
 Best site-Real                      | Epoch:0 | Val Acc: 0.2653
 Best site-Real                      | Epoch:0 | Val Acc: 0.3544
 Best site-Real                      | Epoch:0 | Val Acc: 0.3622
 Best site-Real                      | Epoch:0 | Val Acc: 0.2696
 Best site-Painting                  | Epoch:0 | Val Acc: 0.2000
 Best site-Painting                  | Epoch:0 | Val Acc: 0.2500
 Best site-Painting                  | Epoch:0 | Val Acc: 0.1556
 Best site-Painting                  | Epoch:0 | Val Acc: 0.1793
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.2564
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.2222
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.2772
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.1224
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.1154
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.1125
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.6_1/only_dcnet_wcon=0.01...
============ Train epoch 1 ============
cnt=[1, 7, 2, 12, 4, 1, ]
cnt=[9, 7, 2, 1, 5, 3, ]
 Site-Clipart                       | Train Loss: 1.8750 | Train Acc: 0.6667
