===2023-07-26 18:33:39===
===Setting===
    dataset: domainnet
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: 6
    quantile: 0
    power_cs: 1
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix5: False
    power_relu: 1
    Ea_val: False
data_number=[6,11,17,28,45,72,116,186,298,477,18,29,46,74,119,191,306,53,85,136,217,59,95,152,73,118,120,
client_nums=[10,7,4,3,2,1,]
len_dataset=[2103,1314,821,513,320,200,]
domain number = 6
============ Train epoch 0 ============
 Site-Clipart                       | Train Loss: 2.1193 | Train Acc: 0.6667
 Site-Clipart                       | Train Loss: 2.2422 | Train Acc: 0.4545
 Site-Clipart                       | Train Loss: 2.2022 | Train Acc: 0.3529
 Site-Clipart                       | Train Loss: 2.2233 | Train Acc: 0.4286
 Site-Clipart                       | Train Loss: 2.2379 | Train Acc: 0.2444
 Site-Clipart                       | Train Loss: 2.1806 | Train Acc: 0.3750
 Site-Clipart                       | Train Loss: 2.2248 | Train Acc: 0.3534
 Site-Clipart                       | Train Loss: 2.2168 | Train Acc: 0.3333
 Site-Clipart                       | Train Loss: 2.2210 | Train Acc: 0.3523
 Site-Clipart                       | Train Loss: 2.2249 | Train Acc: 0.3187
 Site-Real                          | Train Loss: 2.2038 | Train Acc: 0.5000
 Site-Real                          | Train Loss: 2.2238 | Train Acc: 0.3448
 Site-Real                          | Train Loss: 2.2077 | Train Acc: 0.3043
 Site-Real                          | Train Loss: 2.2121 | Train Acc: 0.3514
 Site-Real                          | Train Loss: 2.2133 | Train Acc: 0.4286
 Site-Real                          | Train Loss: 2.2041 | Train Acc: 0.4712
 Site-Real                          | Train Loss: 2.2090 | Train Acc: 0.4216
 Site-Painting                      | Train Loss: 2.2292 | Train Acc: 0.3019
 Site-Painting                      | Train Loss: 2.2149 | Train Acc: 0.3765
 Site-Painting                      | Train Loss: 2.2565 | Train Acc: 0.3309
 Site-Painting                      | Train Loss: 2.2165 | Train Acc: 0.3825
 Site-Sketch                        | Train Loss: 2.2231 | Train Acc: 0.3559
 Site-Sketch                        | Train Loss: 2.2163 | Train Acc: 0.3368
 Site-Sketch                        | Train Loss: 2.2257 | Train Acc: 0.3684
 Site-QuickDraw                     | Train Loss: 2.3171 | Train Acc: 0.1096
 Site-QuickDraw                     | Train Loss: 2.3305 | Train Acc: 0.1186
 Site-Infograph                     | Train Loss: 2.2738 | Train Acc: 0.1417
Average Train Accuracy: 0.3528
 Site-Clipart                       | Val  Loss: 2.1131 | Val  Acc: 0.5000
 Site-Clipart                       | Val  Loss: 2.1427 | Val  Acc: 0.8571
 Site-Clipart                       | Val  Loss: 2.2040 | Val  Acc: 0.5455
 Site-Clipart                       | Val  Loss: 2.2247 | Val  Acc: 0.3333
 Site-Clipart                       | Val  Loss: 2.2529 | Val  Acc: 0.2667
 Site-Clipart                       | Val  Loss: 2.2614 | Val  Acc: 0.3333
 Site-Clipart                       | Val  Loss: 2.2502 | Val  Acc: 0.2338
 Site-Clipart                       | Val  Loss: 2.2294 | Val  Acc: 0.2984
 Site-Clipart                       | Val  Loss: 2.2044 | Val  Acc: 0.3687
 Site-Clipart                       | Val  Loss: 2.2203 | Val  Acc: 0.3302
 Site-Real                          | Val  Loss: 2.1846 | Val  Acc: 0.5000
 Site-Real                          | Val  Loss: 2.2093 | Val  Acc: 0.3684
 Site-Real                          | Val  Loss: 2.2114 | Val  Acc: 0.2258
 Site-Real                          | Val  Loss: 2.2166 | Val  Acc: 0.3878
 Site-Real                          | Val  Loss: 2.2333 | Val  Acc: 0.4051
 Site-Real                          | Val  Loss: 2.1969 | Val  Acc: 0.5039
 Site-Real                          | Val  Loss: 2.2041 | Val  Acc: 0.4902
 Site-Painting                      | Val  Loss: 2.2079 | Val  Acc: 0.3429
 Site-Painting                      | Val  Loss: 2.2138 | Val  Acc: 0.3571
 Site-Painting                      | Val  Loss: 2.2321 | Val  Acc: 0.3667
 Site-Painting                      | Val  Loss: 2.2398 | Val  Acc: 0.3034
 Site-Sketch                        | Val  Loss: 2.2687 | Val  Acc: 0.3333
 Site-Sketch                        | Val  Loss: 2.2409 | Val  Acc: 0.3968
 Site-Sketch                        | Val  Loss: 2.2268 | Val  Acc: 0.3465
 Site-QuickDraw                     | Val  Loss: 2.3313 | Val  Acc: 0.1020
 Site-QuickDraw                     | Val  Loss: 2.3358 | Val  Acc: 0.1154
 Site-Infograph                     | Val  Loss: 2.2716 | Val  Acc: 0.2250
Average Valid Accuracy: 0.3643
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.5000
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.8571
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.5455
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3333
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.2667
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3333
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.2338
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.2984
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3687
 Best site-Clipart                   | Epoch:0 | Val Acc: 0.3302
 Best site-Real                      | Epoch:0 | Val Acc: 0.5000
 Best site-Real                      | Epoch:0 | Val Acc: 0.3684
 Best site-Real                      | Epoch:0 | Val Acc: 0.2258
 Best site-Real                      | Epoch:0 | Val Acc: 0.3878
 Best site-Real                      | Epoch:0 | Val Acc: 0.4051
 Best site-Real                      | Epoch:0 | Val Acc: 0.5039
 Best site-Real                      | Epoch:0 | Val Acc: 0.4902
 Best site-Painting                  | Epoch:0 | Val Acc: 0.3429
 Best site-Painting                  | Epoch:0 | Val Acc: 0.3571
 Best site-Painting                  | Epoch:0 | Val Acc: 0.3667
 Best site-Painting                  | Epoch:0 | Val Acc: 0.3034
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.3333
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.3968
 Best site-Sketch                    | Epoch:0 | Val Acc: 0.3465
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.1020
 Best site-QuickDraw                 | Epoch:0 | Val Acc: 0.1154
 Best site-Infograph                 | Epoch:0 | Val Acc: 0.2250
 Saving the local and server checkpoint to ../checkpoint/fed_domainnet_uneven_1.6_0/drfl...
============ Train epoch 1 ============
 Site-Clipart                       | Train Loss: 2.0916 | Train Acc: 0.8333
 Site-Clipart                       | Train Loss: 2.1479 | Train Acc: 0.5455
 Site-Clipart                       | Train Loss: 2.0956 | Train Acc: 0.5882
 Site-Clipart                       | Train Loss: 2.1360 | Train Acc: 0.6429
 Site-Clipart                       | Train Loss: 2.1351 | Train Acc: 0.5778
 Site-Clipart                       | Train Loss: 2.1270 | Train Acc: 0.6389
 Site-Clipart                       | Train Loss: 2.1233 | Train Acc: 0.5690
 Site-Clipart                       | Train Loss: 2.1294 | Train Acc: 0.5538
 Site-Clipart                       | Train Loss: 2.1202 | Train Acc: 0.5772
 Site-Clipart                       | Train Loss: 2.1260 | Train Acc: 0.6059
 Site-Real                          | Train Loss: 2.1204 | Train Acc: 0.6667
 Site-Real                          | Train Loss: 2.1008 | Train Acc: 0.6897
 Site-Real                          | Train Loss: 2.1131 | Train Acc: 0.6957
 Site-Real                          | Train Loss: 2.0928 | Train Acc: 0.7027
 Site-Real                          | Train Loss: 2.0978 | Train Acc: 0.7143
 Site-Real                          | Train Loss: 2.0863 | Train Acc: 0.7801
 Site-Real                          | Train Loss: 2.0965 | Train Acc: 0.7516
 Site-Painting                      | Train Loss: 2.1569 | Train Acc: 0.5472
 Site-Painting                      | Train Loss: 2.0959 | Train Acc: 0.6588
 Site-Painting                      | Train Loss: 2.1522 | Train Acc: 0.5368
 Site-Painting                      | Train Loss: 2.1290 | Train Acc: 0.5853
 Site-Sketch                        | Train Loss: 2.1153 | Train Acc: 0.6271
 Site-Sketch                        | Train Loss: 2.1292 | Train Acc: 0.5684
 Site-Sketch                        | Train Loss: 2.1341 | Train Acc: 0.5461
