===2023-06-13 21:15:42===
===Setting===
    dataset: fairface
    lr: 0.01
    batch: 64
    iters: 50
    wk_iters: 1
    si: False
    domain_num: -1
    quantile: 0
    std_rw: False
    gender_label: False
    binary_race: False
    save_iter: -1
    mix: False
    mix2: False
    mix3: False
    mix4: False
data_number=[12,17,26,38,56,82,121,179,263,387,27,40,59,86,127,187,276,43,64,94,139,205,55,81,119,102,150,172,117,]
client_nums=[10,7,5,3,2,1,1,]
len_dataset=[3952,2688,1828,856,846,575,391,]
domain number = -1
============ Train epoch 0 ============
 Site-White_utk                     | Train Loss: 2.1821 | Train Acc: 0.1667
 Site-White_utk                     | Train Loss: 2.2117 | Train Acc: 0.1176
 Site-White_utk                     | Train Loss: 2.2193 | Train Acc: 0.0769
 Site-White_utk                     | Train Loss: 2.2076 | Train Acc: 0.1316
 Site-White_utk                     | Train Loss: 2.1963 | Train Acc: 0.1071
 Site-White_utk                     | Train Loss: 2.2002 | Train Acc: 0.1098
 Site-White_utk                     | Train Loss: 2.2113 | Train Acc: 0.0661
 Site-White_utk                     | Train Loss: 2.2115 | Train Acc: 0.0726
 Site-White_utk                     | Train Loss: 2.1984 | Train Acc: 0.0913
 Site-White_utk                     | Train Loss: 2.2070 | Train Acc: 0.0956
 Site-East_Asian                    | Train Loss: 2.1950 | Train Acc: 0.1111
 Site-East_Asian                    | Train Loss: 2.1723 | Train Acc: 0.1000
 Site-East_Asian                    | Train Loss: 2.1703 | Train Acc: 0.1017
 Site-East_Asian                    | Train Loss: 2.1887 | Train Acc: 0.1163
 Site-East_Asian                    | Train Loss: 2.1826 | Train Acc: 0.1024
 Site-East_Asian                    | Train Loss: 2.1863 | Train Acc: 0.1337
 Site-East_Asian                    | Train Loss: 2.1807 | Train Acc: 0.1123
 Site-Indian_utk                    | Train Loss: 2.2312 | Train Acc: 0.0465
 Site-Indian_utk                    | Train Loss: 2.2252 | Train Acc: 0.0781
 Site-Indian_utk                    | Train Loss: 2.2159 | Train Acc: 0.0638
 Site-Indian_utk                    | Train Loss: 2.2079 | Train Acc: 0.0647
 Site-Indian_utk                    | Train Loss: 2.1982 | Train Acc: 0.0878
 Site-Black_utk                     | Train Loss: 2.2063 | Train Acc: 0.1091
 Site-Black_utk                     | Train Loss: 2.2110 | Train Acc: 0.1111
 Site-Black_utk                     | Train Loss: 2.2018 | Train Acc: 0.0924
 Site-Others_utk                    | Train Loss: 2.2107 | Train Acc: 0.0490
 Site-Others_utk                    | Train Loss: 2.2040 | Train Acc: 0.0867
 Site-Southeast_Asian               | Train Loss: 2.1901 | Train Acc: 0.1163
 Site-Middle_Eastern_gan            | Train Loss: 2.2095 | Train Acc: 0.1026
Average Train Accuracy: 0.0973
 Site-White_utk                     | Val  Loss: 2.2164 | Val  Acc: 0.0000
 Site-White_utk                     | Val  Loss: 2.2346 | Val  Acc: 0.0909
 Site-White_utk                     | Val  Loss: 2.2243 | Val  Acc: 0.0588
 Site-White_utk                     | Val  Loss: 2.2195 | Val  Acc: 0.0400
 Site-White_utk                     | Val  Loss: 2.2023 | Val  Acc: 0.1081
 Site-White_utk                     | Val  Loss: 2.1878 | Val  Acc: 0.1455
 Site-White_utk                     | Val  Loss: 2.1952 | Val  Acc: 0.1235
 Site-White_utk                     | Val  Loss: 2.1869 | Val  Acc: 0.1008
 Site-White_utk                     | Val  Loss: 2.2106 | Val  Acc: 0.0971
 Site-White_utk                     | Val  Loss: 2.1978 | Val  Acc: 0.1008
 Site-East_Asian                    | Val  Loss: 2.1741 | Val  Acc: 0.1667
 Site-East_Asian                    | Val  Loss: 2.1672 | Val  Acc: 0.1538
 Site-East_Asian                    | Val  Loss: 2.1918 | Val  Acc: 0.0769
 Site-East_Asian                    | Val  Loss: 2.1972 | Val  Acc: 0.0526
 Site-East_Asian                    | Val  Loss: 2.1978 | Val  Acc: 0.0941
 Site-East_Asian                    | Val  Loss: 2.1860 | Val  Acc: 0.1440
 Site-East_Asian                    | Val  Loss: 2.1862 | Val  Acc: 0.1033
 Site-Indian_utk                    | Val  Loss: 2.1965 | Val  Acc: 0.0690
 Site-Indian_utk                    | Val  Loss: 2.2065 | Val  Acc: 0.0465
 Site-Indian_utk                    | Val  Loss: 2.2011 | Val  Acc: 0.0794
 Site-Indian_utk                    | Val  Loss: 2.2135 | Val  Acc: 0.0761
 Site-Indian_utk                    | Val  Loss: 2.2098 | Val  Acc: 0.0735
 Site-Black_utk                     | Val  Loss: 2.2153 | Val  Acc: 0.1111
 Site-Black_utk                     | Val  Loss: 2.2037 | Val  Acc: 0.0741
 Site-Black_utk                     | Val  Loss: 2.2013 | Val  Acc: 0.1266
 Site-Others_utk                    | Val  Loss: 2.2099 | Val  Acc: 0.1176
 Site-Others_utk                    | Val  Loss: 2.1996 | Val  Acc: 0.1000
 Site-Southeast_Asian               | Val  Loss: 2.1897 | Val  Acc: 0.1217
 Site-Middle_Eastern_gan            | Val  Loss: 2.1683 | Val  Acc: 0.1538
Average Valid Accuracy: 0.0968
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.0000
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.0909
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.0588
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.0400
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.1081
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.1455
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.1235
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.1008
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.0971
 Best site-White_utk                 | Epoch:0 | Val Acc: 0.1008
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.1667
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.1538
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.0769
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.0526
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.0941
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.1440
 Best site-East_Asian                | Epoch:0 | Val Acc: 0.1033
 Best site-Indian_utk                | Epoch:0 | Val Acc: 0.0690
 Best site-Indian_utk                | Epoch:0 | Val Acc: 0.0465
 Best site-Indian_utk                | Epoch:0 | Val Acc: 0.0794
 Best site-Indian_utk                | Epoch:0 | Val Acc: 0.0761
 Best site-Indian_utk                | Epoch:0 | Val Acc: 0.0735
 Best site-Black_utk                 | Epoch:0 | Val Acc: 0.1111
 Best site-Black_utk                 | Epoch:0 | Val Acc: 0.0741
 Best site-Black_utk                 | Epoch:0 | Val Acc: 0.1266
 Best site-Others_utk                | Epoch:0 | Val Acc: 0.1176
 Best site-Others_utk                | Epoch:0 | Val Acc: 0.1000
 Best site-Southeast_Asian           | Epoch:0 | Val Acc: 0.1217
 Best site-Middle_Eastern_gan        | Epoch:0 | Val Acc: 0.1538
 Saving the local and server checkpoint to ../checkpoint/fed_fairface_uneven-mix5_1.47_1_random_dis_cluster_-1/fedavg...
============ Train epoch 1 ============
 Site-White_utk                     | Train Loss: 2.1588 | Train Acc: 0.1667
 Site-White_utk                     | Train Loss: 2.2120 | Train Acc: 0.1176
 Site-White_utk                     | Train Loss: 2.2120 | Train Acc: 0.1154
 Site-White_utk                     | Train Loss: 2.1898 | Train Acc: 0.1316
 Site-White_utk                     | Train Loss: 2.1925 | Train Acc: 0.1250
 Site-White_utk                     | Train Loss: 2.1860 | Train Acc: 0.1341
 Site-White_utk                     | Train Loss: 2.2056 | Train Acc: 0.1074
 Site-White_utk                     | Train Loss: 2.1962 | Train Acc: 0.1006
 Site-White_utk                     | Train Loss: 2.1994 | Train Acc: 0.1255
 Site-White_utk                     | Train Loss: 2.2100 | Train Acc: 0.1034
 Site-East_Asian                    | Train Loss: 2.1655 | Train Acc: 0.1111
